Entry	Status	Protein names	Gene names  (primary )	Gene names	Annotation	Keywords	Gene ontology (cellular component)
A0A1U7Q9I4	unreviewed	bone morphogenetic protein 2 isoform X1	Bmp2	Bmp2	5 out of 5	Disulfide bond;Growth factor;Reference proteome;Secreted;Signal	BMP receptor complex [GO:0070724]; cell surface [GO:0009986]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]
A0A1U7QJM8	unreviewed	Olfactory receptor	LOC101844005	LOC101844005	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QLB9	unreviewed	sphingomyelin phosphodiesterase 3	Smpd3	Smpd3	5 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	Golgi cis cisterna [GO:0000137]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A3Q0CK71	unreviewed	Anion exchange transporter (Solute carrier family 26 member 7)	Slc26a7	Slc26a7	2 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	basolateral plasma membrane [GO:0016323]; endosome [GO:0005768]; integral component of membrane [GO:0016021]
A0A1U7QTV2	unreviewed	paxillin	Pxn	Pxn	3 out of 5	LIM domain;Metal-binding;Reference proteome;Zinc	cell-cell junction [GO:0005911]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; plasma membrane [GO:0005886]; stress fiber [GO:0001725]
A0A1U7QKI6	unreviewed	Olfactory receptor	LOC101837699	LOC101837699	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QAM8	unreviewed	protein CIP2A	Kiaa1524	Kiaa1524	1 out of 5	Coiled coil;Reference proteome	cytosol [GO:0005829]; plasma membrane [GO:0005886]
A0A1U7QTX3	unreviewed	dnaJ homolog subfamily C member 5	Dnajc5	Dnajc5	1 out of 5	Reference proteome	neuromuscular junction [GO:0031594]; plasma membrane [GO:0005886]; synaptic vesicle [GO:0008021]
A0A3Q0D8K5	unreviewed	P2X purinoceptor	P2rx7	P2rx7	2 out of 5	Ion channel;Ion transport;Membrane;Receptor;Reference proteome;Transmembrane;Transmembrane helix;Transport	integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]
A0A1U7R922	unreviewed	Olfactory receptor	LOC101842015	LOC101842015	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QTU5	unreviewed	Epithelial membrane protein 1	Emp1	Emp1	2 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8CME9	unreviewed	LOW QUALITY PROTEIN: olfactory receptor 7E24-like	LOC106022056	LOC106022056	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A3Q0D029	unreviewed	cadherin-8	Cdh8	Cdh8	1 out of 5	Calcium;Cell adhesion;Cell membrane;Membrane;Reference proteome;Repeat;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8CED3	unreviewed	neuroligin-3 isoform X3	Nlgn3	Nlgn3	2 out of 5	Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]; synapse [GO:0045202]
A0A1U7QW64	unreviewed	small proline-rich protein 2E-like	LOC101829013	LOC101829013	1 out of 5	Reference proteome	cornified envelope [GO:0001533]
A0A1U8CK53	unreviewed	Olfactory receptor	LOC101838627	LOC101838627	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7R131	unreviewed	cyclin-Y isoform X1	Ccny	Ccny	2 out of 5	Cyclin;Reference proteome	cytoplasmic cyclin-dependent protein kinase holoenzyme complex [GO:0000308]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
A0A1U7RBR2	unreviewed	Olfactory receptor	LOC101844867	LOC101844867	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QGB6	unreviewed	Olfactory receptor	LOC101832428	LOC101832428	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A3Q0D2I6	unreviewed	metabotropic glutamate receptor 8	LOC101822862	LOC101822862	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7R281	unreviewed	cdc42 effector protein 5	Cdc42ep5	Cdc42ep5	2 out of 5	Reference proteome	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
A0A1U8BYT3	unreviewed	alpha-crystallin B chain	Cryab	Cryab	4 out of 5	Chaperone;Eye lens protein;Metal-binding;Reference proteome;Zinc	cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; Z disc [GO:0030018]
A0A1U7QCY2	unreviewed	Olfactory receptor	LOC101834413	LOC101834413	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QD80	unreviewed	Tyrosine-protein kinase (EC 2.7.10.2)	Jak2	Jak2	4 out of 5	ATP-binding;Kinase;Nucleotide-binding;Reference proteome;SH2 domain;Transferase;Tyrosine-protein kinase	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; focal adhesion [GO:0005925]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
A0A1U7R4T5	unreviewed	glypican-6 isoform X2	Gpc6	Gpc6	2 out of 5	GPI-anchor;Glycoprotein;Heparan sulfate;Lipoprotein;Membrane;Proteoglycan;Reference proteome;Signal	anchored component of plasma membrane [GO:0046658]; collagen-containing extracellular matrix [GO:0062023]
A0A1U8CEN7	unreviewed	integrin alpha-V isoform X2	Itgav	Itgav	2 out of 5	Cell adhesion;Integrin;Membrane;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	integrin complex [GO:0008305]
A0A3Q0CJD2	unreviewed	Transmembrane channel-like protein	Tmc8	Tmc8	3 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; nuclear membrane [GO:0031965]
A0A1U7QTH1	unreviewed	Adenylate cyclase (EC 4.6.1.1)	Adcy4	Adcy4	4 out of 5	ATP-binding;Lyase;Magnesium;Manganese;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix;cAMP biosynthesis	cytoplasm [GO:0005737]; dendrite [GO:0030425]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QKB0	unreviewed	Olfactory receptor	LOC101828630	LOC101828630	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7Q388	unreviewed	Olfactory receptor	LOC101830393	LOC101830393	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8C7U7	unreviewed	LOW QUALITY PROTEIN: olfactory receptor 4C15-like	LOC101831985	LOC101831985	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8CIC5	unreviewed	Olfactory receptor	LOC101838168	LOC101838168	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QZJ4	unreviewed	rhomboid-related protein 2 isoform X1	Rhbdl2	Rhbdl2	1 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7Q6Y1	unreviewed	Olfactory receptor	LOC101829844	LOC101829844	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7Q404	unreviewed	proton myo-inositol cotransporter	Slc2a13	Slc2a13	1 out of 5	Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	integral component of plasma membrane [GO:0005887]
A0A1U7QDI5	unreviewed	Olfactory receptor	LOC101822492	LOC101822492	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7R2U8	unreviewed	SLIT-ROBO Rho GTPase-activating protein 2 isoform X1	Srgap2	Srgap2	2 out of 5	Coiled coil;GTPase activation;Reference proteome;SH3 domain	cytosol [GO:0005829]; phagocytic vesicle [GO:0045335]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]
A0A1U8C5D0	unreviewed	A-kinase anchor protein 5	Akap5	Akap5	1 out of 5	Kinase;Reference proteome;Transferase	plasma membrane [GO:0005886]
A0A1U8BT35	unreviewed	Anion exchange transporter (Solute carrier family 26 member 7)	Slc26a7	Slc26a7	2 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	basolateral plasma membrane [GO:0016323]; integral component of membrane [GO:0016021]
A0A1U7QZ98	unreviewed	myeloid-associated differentiation marker	Myadm	Myadm	2 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	cell-cell junction [GO:0005911]; cortical actin cytoskeleton [GO:0030864]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; ruffle [GO:0001726]
A0A1U8C137	unreviewed	Adenosine receptor A2	Adora2a	Adora2a	3 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]
A0A1U7QKT2	unreviewed	stimulated by retinoic acid gene 6 protein homolog	Stra6	Stra6	4 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]; protein-containing complex [GO:0032991]
A0A1U8C5B2	unreviewed	TNF receptor-associated factor (EC 2.3.2.27)	Traf6	Traf6	5 out of 5	Coiled coil;Cytoplasm;Metal-binding;Receptor;Reference proteome;Zinc;Zinc-finger	CD40 receptor complex [GO:0035631]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; lipid droplet [GO:0005811]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
A0A1U7Q5Z5	unreviewed	programmed cell death 1 ligand 1 isoform X1	Cd274	Cd274	3 out of 5	Disulfide bond;Immunoglobulin domain;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	early endosome membrane [GO:0031901]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; recycling endosome membrane [GO:0055038]
A0A1U7QTE9	unreviewed	copine-6 isoform X1	Cpne6	Cpne6	1 out of 5	Reference proteome	axon [GO:0030424]; clathrin-coated endocytic vesicle [GO:0045334]; dendrite [GO:0030425]; plasma membrane [GO:0005886]
A0A1U7QCZ9	unreviewed	zinc finger matrin-type protein 3 isoform X1	Zmat3	Zmat3	1 out of 5	Metal-binding;Reference proteome;Zinc;Zinc-finger	nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
A0A1U8BVR4	unreviewed	Adenosine receptor A1	Adora1	Adora1	3 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	dendritic spine [GO:0043197]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QQN9	unreviewed	metalloreductase STEAP2	Steap2	Steap2	2 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	cytosol [GO:0005829]; early endosome [GO:0005769]; integral component of Golgi membrane [GO:0030173]; plasma membrane [GO:0005886]; trans-Golgi network transport vesicle [GO:0030140]
A0A1U8CFC8	unreviewed	Tissue factor pathway inhibitor	Tfpi	Tfpi	2 out of 5	Blood coagulation;Hemostasis;Protease inhibitor;Reference proteome;Serine protease inhibitor;Signal	caveola [GO:0005901]; cell surface [GO:0009986]; extracellular space [GO:0005615]
A0A1U7QLY2	unreviewed	SLIT and NTRK-like protein 1	Slitrk1	Slitrk1	2 out of 5	Leucine-rich repeat;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; integral component of postsynaptic density membrane [GO:0099061]
A0A1U7R3W2	unreviewed	P2X purinoceptor	P2rx2	P2rx2	4 out of 5	ATP-binding;Disulfide bond;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Nucleotide-binding;Receptor;Reference proteome;Transmembrane;Transmembrane helix;Transport	apical plasma membrane [GO:0016324]; integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]; receptor complex [GO:0043235]
A0A1U7Q232	unreviewed	gamma-sarcoglycan	Sgcg	Sgcg 35DAG Gamma-SG	1 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; sarcoglycan complex [GO:0016012]
A0A1U7Q742	unreviewed	RAS guanyl-releasing protein 1	Rasgrp1	Rasgrp1	5 out of 5	Calcium;Coiled coil;Guanine-nucleotide releasing factor;Metal-binding;Reference proteome;Zinc;Zinc-finger	cell [GO:0005623]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; mast cell granule [GO:0042629]; plasma membrane [GO:0005886]
A0A3Q0DF49	unreviewed	potassium voltage-gated channel subfamily C member 3 isoform X3	Kcnc3	Kcnc3	2 out of 5	Coiled coil;Ion channel;Ion transport;Membrane;Potassium;Potassium channel;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	voltage-gated potassium channel complex [GO:0008076]
A0A1U7Q593	unreviewed	calcineurin B homologous protein 2 isoform X2	Chp2	Chp2	2 out of 5	Calcium;Reference proteome	cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
A0A1U8CK04	unreviewed	Olfactory receptor	LOC101833810	LOC101833810	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8C4A3	unreviewed	complement component C8 beta chain isoform X4	C8b	C8b	1 out of 5	Disulfide bond;Reference proteome	membrane attack complex [GO:0005579]
A0A3Q0CLF6	unreviewed	T-cell surface glycoprotein CD5 isoform X2	Cd5	Cd5	2 out of 5	Disulfide bond;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
A0A1U8C2Q3	unreviewed	ephrin type-B receptor 3	Ephb3	Ephb3	2 out of 5	ATP-binding;Kinase;Membrane;Nucleotide-binding;Receptor;Reference proteome;Repeat;Signal;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase	integral component of plasma membrane [GO:0005887]
A0A1U7QFL5	unreviewed	Olfactory receptor	LOC101826678	LOC101826678	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QPK5	unreviewed	olfactory receptor 10J1-like	LOC101825075	LOC101825075	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7Q4S1	unreviewed	Olfactory receptor	LOC101833099	LOC101833099	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QT07	unreviewed	Olfactory receptor	LOC101842472	LOC101842472	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QUJ8	unreviewed	glypican-6 isoform X1	Gpc6	Gpc6	2 out of 5	GPI-anchor;Glycoprotein;Heparan sulfate;Lipoprotein;Membrane;Proteoglycan;Reference proteome;Signal	anchored component of plasma membrane [GO:0046658]; collagen-containing extracellular matrix [GO:0062023]
A0A1U7R0F8	unreviewed	Chloride channel protein	Clcn1	Clcn1	2 out of 5	CBS domain;Chloride;Coiled coil;Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	integral component of plasma membrane [GO:0005887]; sarcolemma [GO:0042383]
A0A1U7Q5C7	unreviewed	Olfactory receptor	LOC101843645	LOC101843645	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7Q5X4	unreviewed	free fatty acid receptor 4	Ffar4	Ffar4	3 out of 5	Membrane;Receptor;Reference proteome;Transmembrane;Transmembrane helix	cell [GO:0005623]; cilium [GO:0005929]; endocytic vesicle [GO:0030139]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QWE5	unreviewed	Myeloid differentiation primary response protein MyD88	Myd88	Myd88	5 out of 5	Cytoplasm;Immunity;Inflammatory response;Reference proteome	cytosol [GO:0005829]; plasma membrane [GO:0005886]
A0A1U7RHN2	unreviewed	Sphingomyelin phosphodiesterase (EC 3.1.4.12)	Smpd1	Smpd1	3 out of 5	Disulfide bond;Glycosidase;Hydrolase;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Zinc	endosome [GO:0005768]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; lysosome [GO:0005764]; plasma membrane [GO:0005886]
A0A1U7QNV3	unreviewed	serum paraoxonase/arylesterase 2	Pon2	Pon2	1 out of 5	Reference proteome	extracellular region [GO:0005576]; plasma membrane [GO:0005886]
A0A1U8BZW5	unreviewed	Down syndrome cell adhesion molecule	Dscam	Dscam	2 out of 5	Immunoglobulin domain;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
A0A1U7Q9X7	unreviewed	Olfactory receptor	LOC101833161	LOC101833161	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QGG9	unreviewed	Voltage-dependent T-type calcium channel subunit alpha	Cacna1i	Cacna1i	3 out of 5	Calcium;Calcium channel;Calcium transport;Coiled coil;Ion channel;Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	voltage-gated calcium channel complex [GO:0005891]
A0A1U7QFW3	unreviewed	nuclear factor erythroid 2-related factor 2 isoform X1	Nfe2l2	Nfe2l2	5 out of 5	Coiled coil;DNA-binding;Nucleus;Reference proteome;Transcription;Transcription regulation	cell [GO:0005623]; centrosome [GO:0005813]; chromatin [GO:0000785]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; protein-DNA complex [GO:0032993]
A0A1U7QYM8	unreviewed	olfactory receptor 2A5-like	LOC101832436	LOC101832436	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8BQQ3	unreviewed	neogenin isoform X8	Neo1	Neo1	2 out of 5	Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
A0A1U7Q9R2	unreviewed	Hedgehog protein	Dhh	Dhh	3 out of 5	Autocatalytic cleavage;Calcium;Cell membrane;Developmental protein;Hydrolase;Membrane;Metal-binding;Protease;Reference proteome;Signal;Zinc	extracellular space [GO:0005615]; plasma membrane [GO:0005886]
A0A1U8CTC8	unreviewed	utrophin isoform X4	Utrn	Utrn	2 out of 5	Actin-binding;Cell junction;Cell membrane;Coiled coil;Cytoplasm;Cytoskeleton;Membrane;Metal-binding;Postsynaptic cell membrane;Reference proteome;Repeat;Synapse;Zinc;Zinc-finger	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; postsynaptic membrane [GO:0045211]
A0A1U7RG83	unreviewed	flavin reductase (NADPH)	Blvrb	Blvrb	1 out of 5	Reference proteome	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
A0A1U7QE27	unreviewed	hepatitis A virus cellular receptor 2 homolog isoform X1	LOC101837328	LOC101837328	5 out of 5	Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; early endosome [GO:0005769]; immunological synapse [GO:0001772]; integral component of membrane [GO:0016021]
A0A1U7QEG4	unreviewed	von Willebrand factor C domain-containing protein 2-like	Vwc2l	Vwc2l	1 out of 5	Reference proteome;Signal	AMPA glutamate receptor complex [GO:0032281]; extracellular space [GO:0005615]
A0A1U7R464	unreviewed	C-type lectin domain family 1 member B isoform X1	Clec1b	Clec1b	1 out of 5	Lectin;Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
A0A1U8CRX6	unreviewed	integrin alpha-4 isoform X1	Itga4	Itga4	3 out of 5	Cell adhesion;Integrin;Membrane;Receptor;Reference proteome;Repeat;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; integrin alpha4-beta7 complex [GO:0034669]
A0A1U7QAH1	unreviewed	melanocortin receptor 4	Mc4r	Mc4r	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7R7Z1	unreviewed	vomeronasal type-2 receptor 116-like isoform X1	LOC101844589	LOC101844589	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Signal;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QBA7	unreviewed	alpha-2B adrenergic receptor	Adra2b	Adra2b	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7Q372	unreviewed	Olfactory receptor	LOC101828326	LOC101828326	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7R9M5	unreviewed	39S ribosomal protein L44, mitochondrial	Mrpl44	Mrpl44	1 out of 5	RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein	mitochondrial large ribosomal subunit [GO:0005762]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
A0A1U7RC22	unreviewed	glypican-3	Gpc3	Gpc3	4 out of 5	GPI-anchor;Glycoprotein;Heparan sulfate;Lipoprotein;Membrane;Proteoglycan;Reference proteome;Signal	anchored component of plasma membrane [GO:0046658]; collagen-containing extracellular matrix [GO:0062023]; lysosome [GO:0005764]
A0A1U7R8L4	unreviewed	LDLR chaperone MESD	Mesd	Mesd	2 out of 5	Reference proteome;Signal	plasma membrane [GO:0005886]
A0A3Q0D808	unreviewed	hephaestin	Heph	Heph	2 out of 5	Copper;Membrane;Metal-binding;Oxidoreductase;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell [GO:0005623]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A3Q0CKC1	unreviewed	Adenylate cyclase (EC 4.6.1.1)	Adcy6	Adcy6	3 out of 5	ATP-binding;Lyase;Magnesium;Manganese;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix;cAMP biosynthesis	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7R1S5	unreviewed	olfactory receptor 5A2-like	LOC101824297	LOC101824297	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QG50	unreviewed	Olfactory receptor	LOC101841106	LOC101841106	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7R071	unreviewed	epsilon-sarcoglycan isoform X3	Sgce	Sgce	1 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	dendrite membrane [GO:0032590]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; sarcoglycan complex [GO:0016012]
A0A1U7QA82	unreviewed	Olfactory receptor	LOC101835573	LOC101835573	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A3Q0CN44	unreviewed	B-lymphocyte antigen CD20 isoform X2	Ms4a1	Ms4a1	1 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
A0A1U7QN26	unreviewed	5-hydroxytryptamine receptor 3A	Htr3a	Htr3a	2 out of 5	Ion channel;Ion transport;Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport	cleavage furrow [GO:0032154]; postsynaptic membrane [GO:0045211]; serotonin-activated cation-selective channel complex [GO:1904602]
