Entry	Status	Protein names	Gene names  (primary )	Gene names	Annotation	Keywords	Gene ontology (cellular component)
F7EGF0	unreviewed	Receptor protein serine/threonine kinase (EC 2.7.11.30)	BMPR2	BMPR2	5 out of 5	ATP-binding;Kinase;Membrane;Nucleotide-binding;Receptor;Reference proteome;Serine/threonine-protein kinase;Signal;Transferase;Transmembrane;Transmembrane helix	adherens junction [GO:0005912]; caveola [GO:0005901]; cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; nucleoplasm [GO:0005654]; postsynaptic density [GO:0014069]
F6Q1B1	unreviewed	TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)	TGFBR2	TGFBR2	5 out of 5	ATP-binding;Apoptosis;Cell membrane;Differentiation;Disulfide bond;Growth regulation;Kinase;Magnesium;Manganese;Membrane;Metal-binding;Nucleotide-binding;Receptor;Reference proteome;Serine/threonine-protein kinase;Signal;Transferase;Transmembrane;Transmembrane helix	caveola [GO:0005901]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
F7E9S4	unreviewed	CD74 molecule (HLA class II histocompatibility antigen gamma chain isoform a)	CD74	CD74	5 out of 5	Disulfide bond;Membrane;Reference proteome;Transmembrane;Transmembrane helix	endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; lysosome [GO:0005764]; macrophage migration inhibitory factor receptor complex [GO:0035692]; MHC class II protein complex [GO:0042613]; multivesicular body [GO:0005771]; NOS2-CD74 complex [GO:0035693]; nucleus [GO:0005634]
F6WI86	unreviewed	Cadherin 2 (Cadherin-2 preproprotein)	CDH2	CDH2	5 out of 5	Calcium;Cell adhesion;Cell membrane;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	adherens junction [GO:0005912]; apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; catenin complex [GO:0016342]; cell surface [GO:0009986]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; fascia adherens [GO:0005916]; integral component of postsynaptic specialization membrane [GO:0099060]; integral component of presynaptic active zone membrane [GO:0099059]; intercalated disc [GO:0014704]; lamellipodium [GO:0030027]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]; postsynaptic density [GO:0014069]; sarcolemma [GO:0042383]; synapse [GO:0045202]
G7N677	unreviewed	Low-density lipoprotein receptor-related protein	LRP6	LRP6	5 out of 5	Developmental protein;Disulfide bond;EGF-like domain;Lipoprotein;Membrane;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Wnt signaling pathway	cell surface [GO:0009986]; integral component of membrane [GO:0016021]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; synapse [GO:0045202]
I0FGN3	unreviewed	Amyloid beta A4 protein isoform b (Amyloid-beta A4 protein)	APP	APP	5 out of 5	Coiled coil;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	apical part of cell [GO:0045177]; axon [GO:0030424]; cell [GO:0005623]; cell-cell junction [GO:0005911]; cell surface [GO:0009986]; ciliary rootlet [GO:0035253]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; early endosome [GO:0005769]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; neuromuscular junction [GO:0031594]; nuclear envelope lumen [GO:0005641]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; presynaptic active zone [GO:0048786]; receptor complex [GO:0043235]; recycling endosome [GO:0055037]; smooth endoplasmic reticulum [GO:0005790]; spindle midzone [GO:0051233]; synaptic vesicle [GO:0008021]
G7NLC3	unreviewed	Calreticulin	CALR	CALR	5 out of 5	Calcium;Chaperone;Endoplasmic reticulum;Metal-binding;Reference proteome;Signal	cytosol [GO:0005829]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum quality control compartment [GO:0044322]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; MHC class I peptide loading complex [GO:0042824]; nuclear envelope [GO:0005635]; perinuclear region of cytoplasm [GO:0048471]; polysome [GO:0005844]
F7CJE4	unreviewed	Protein Wnt	WNT3A	WNT3A	5 out of 5	Developmental protein;Disulfide bond;Extracellular matrix;Reference proteome;Secreted;Signal;Wnt signaling pathway	cell surface [GO:0009986]; extracellular space [GO:0005615]; glutamatergic synapse [GO:0098978]; Wnt-Frizzled-LRP5/6 complex [GO:1990851]
F7AFQ4	unreviewed	Flotillin	FLOT1	FLOT1	5 out of 5	Coiled coil;Membrane;Reference proteome	adherens junction [GO:0005912]; basolateral plasma membrane [GO:0016323]; cell-cell contact zone [GO:0044291]; centriolar satellite [GO:0034451]; COP9 signalosome [GO:0008180]; cortical actin cytoskeleton [GO:0030864]; dopaminergic synapse [GO:0098691]; early endosome [GO:0005769]; external side of plasma membrane [GO:0009897]; flotillin complex [GO:0016600]; lamellipodium [GO:0030027]; sarcolemma [GO:0042383]; uropod [GO:0001931]
F7C3R1	unreviewed	78 kDa glucose-regulated protein	HSPA5	HSPA5	5 out of 5	ATP-binding;Coiled coil;Nucleotide-binding;Reference proteome;Signal	cell surface [GO:0009986]; COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum lumen [GO:0005788]; integral component of endoplasmic reticulum membrane [GO:0030176]; membrane [GO:0016020]; midbody [GO:0030496]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
F7CEN9	unreviewed	Sodium channel protein	SCN5A	SCN5A	5 out of 5	Coiled coil;Ion channel;Ion transport;Membrane;Reference proteome;Sodium;Sodium channel;Sodium transport;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	caveola [GO:0005901]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; intercalated disc [GO:0014704]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; T-tubule [GO:0030315]; voltage-gated sodium channel complex [GO:0001518]; Z disc [GO:0030018]
F7GTN8	unreviewed	Uncharacterized protein	GLRA1	GLRA1	5 out of 5	Cell membrane;Disulfide bond;Ion channel;Ion transport;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport	external side of plasma membrane [GO:0009897]; glycinergic synapse [GO:0098690]; inhibitory synapse [GO:0060077]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]
F6RUI6	unreviewed	Neuroligin-1	NLGN1	NLGN1	5 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; excitatory synapse [GO:0060076]; external side of plasma membrane [GO:0009897]; glutamatergic synapse [GO:0098978]; integral component of plasma membrane [GO:0005887]; presynapse [GO:0098793]; receptor complex [GO:0043235]; synapse [GO:0045202]
A0A1D5QE40	unreviewed	Glutamate ionotropic receptor NMDA type subunit 2A	GRIN2A	GRIN2A	5 out of 5	Cell junction;Cell membrane;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Postsynaptic cell membrane;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport	cell [GO:0005623]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; glutamatergic synapse [GO:0098978]; integral component of postsynaptic density membrane [GO:0099061]; neuron projection [GO:0043005]; NMDA selective glutamate receptor complex [GO:0017146]; plasma membrane [GO:0005886]; postsynaptic density membrane [GO:0098839]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734]; synaptic vesicle [GO:0008021]
F7GQ23	unreviewed	Nerve growth factor receptor	NGFR	NGFR	5 out of 5	Disulfide bond;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell [GO:0005623]; cell-cell junction [GO:0005911]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]
F7GB92	unreviewed	Hepatitis A virus cellular receptor 2	HAVCR2	HAVCR2	5 out of 5	Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; early endosome [GO:0005769]; immunological synapse [GO:0001772]; integral component of membrane [GO:0016021]
F6T717	unreviewed	TYRO3 protein tyrosine kinase (Tyrosine-protein kinase receptor TYRO3)	TYRO3	TYRO3	5 out of 5	ATP-binding;Disulfide bond;Immunoglobulin domain;Kinase;Membrane;Nucleotide-binding;Receptor;Reference proteome;Repeat;Signal;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase	cell [GO:0005623]; cell surface [GO:0009986]; endoplasmic reticulum membrane [GO:0005789]; integral component of plasma membrane [GO:0005887]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; receptor complex [GO:0043235]
F7H3G7	unreviewed	Uncharacterized protein			5 out of 5	Immunoglobulin domain;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
F6SD41	unreviewed	Fc fragment of IgE receptor Ig	FCER1G	FCER1G	5 out of 5	Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; Fc-epsilon receptor I complex [GO:0032998]; integral component of plasma membrane [GO:0005887]
F7FQN6	unreviewed	Apolipoprotein A4	APOA4	APOA4	5 out of 5	Chylomicron;Coiled coil;Lipid transport;Reference proteome;Secreted;Signal;Transport	cell surface [GO:0009986]; chylomicron [GO:0042627]; high-density lipoprotein particle [GO:0034364]; very-low-density lipoprotein particle [GO:0034361]
H9FUD8	unreviewed	LDL receptor related protein 4 (Low-density lipoprotein receptor-related protein 4)	LRP4	LRP4	5 out of 5	Disulfide bond;EGF-like domain;Lipoprotein;Membrane;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; dendrite [GO:0030425]; integral component of membrane [GO:0016021]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; plasma membrane raft [GO:0044853]; postsynaptic density [GO:0014069]; synaptic membrane [GO:0097060]
I0FUK6	unreviewed	ADAM metallopeptidase domain 17 (Disintegrin and metalloproteinase domain-containing protein 17 preproprotein)	ADAM17	ADAM17	5 out of 5	Disulfide bond;Integrin;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	actin cytoskeleton [GO:0015629]; apical plasma membrane [GO:0016324]; cell-cell junction [GO:0005911]; cell surface [GO:0009986]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; ruffle membrane [GO:0032587]
F6VFD7	unreviewed	ADAM metallopeptidase domain 8	ADAM8	ADAM8	5 out of 5	Disulfide bond;EGF-like domain;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	alpha9-beta1 integrin-ADAM8 complex [GO:0071133]; alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex [GO:0071065]; cell surface [GO:0009986]; dense core granule membrane [GO:0032127]; integral component of plasma membrane [GO:0005887]; phagolysosome [GO:0032010]; podosome [GO:0002102]; specific granule [GO:0042581]; tertiary granule [GO:0070820]
F6VW12	unreviewed	TEK receptor tyrosine kinase	TEK	TEK	5 out of 5	ATP-binding;Disulfide bond;EGF-like domain;Immunoglobulin domain;Kinase;Membrane;Nucleotide-binding;Receptor;Reference proteome;Signal;Transferase;Transmembrane;Transmembrane helix;Tyrosine-protein kinase	actin filament [GO:0005884]; apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; cell-cell junction [GO:0005911]; cell surface [GO:0009986]; centriolar satellite [GO:0034451]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; microvillus [GO:0005902]; receptor complex [GO:0043235]; stress fiber [GO:0001725]
Q1WER1	reviewed	Epithelial cell adhesion molecule (Ep-CAM) (Tumor-associated calcium signal transducer 1) (CD antigen CD326)	TACSTD1	TACSTD1 EPCAM	4 out of 5	Cell junction;Cell membrane;Disulfide bond;Glycoprotein;Membrane;Reference proteome;Repeat;Signal;Tight junction;Transmembrane;Transmembrane helix	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; bicellular tight junction [GO:0005923]; cell surface [GO:0009986]; integral component of membrane [GO:0016021]; lateral plasma membrane [GO:0016328]; plasma membrane [GO:0005886]
A0A1D5QWS5	unreviewed	Uncharacterized protein	CDH13	CDH13	5 out of 5	Calcium;Membrane;Reference proteome;Repeat	adherens junction [GO:0005912]; catenin complex [GO:0016342]; caveola [GO:0005901]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]
F6RFA8	unreviewed	Cadherin 5	CDH5	CDH5	5 out of 5	Calcium;Cell adhesion;Cell membrane;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	adherens junction [GO:0005912]; bicellular tight junction [GO:0005923]; cell [GO:0005623]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]
P16003	reviewed	T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (CD antigen CD4)	CD4	CD4	4 out of 5	3D-structure;Adaptive immunity;Cell membrane;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]
P33617	reviewed	Mamu class I histocompatibility antigen, alpha chain F (Leukocyte antigen F) (MHC class I antigen F)	Mamu-F	Mamu-F HLAF	4 out of 5	Disulfide bond;Glycoprotein;Immunity;MHC I;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; MHC class I protein complex [GO:0042612]
P56482	reviewed	C-C chemokine receptor type 1 (C-C CKR-1) (CC-CKR-1) (CCR-1) (CCR1) (CD antigen CD191)	CCR1	CCR1 CMKBR1	4 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P61813	reviewed	C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CD antigen CD195)	CCR5	CCR5 CMKBR5	4 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Reference proteome;Sulfation;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
G7MZI0	unreviewed	Extracellular sulfatase (EC 3.1.6.-)	SULF1	SULF1	5 out of 5	Calcium;Coiled coil;Endoplasmic reticulum;Golgi apparatus;Hydrolase;Metal-binding;Reference proteome;Signal	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi stack [GO:0005795]; plasma membrane [GO:0005886]
G7NRV3	unreviewed	Neuroligin-3 (Neuroligin-3 isoform 1)	NLGN3	NLGN3	5 out of 5	Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; excitatory synapse [GO:0060076]; integral component of plasma membrane [GO:0005887]; postsynapse [GO:0098794]; presynapse [GO:0098793]; synapse [GO:0045202]
F7FG54	unreviewed	Integrin beta			5 out of 5	Cell adhesion;Disulfide bond;Integrin;Membrane;Reference proteome;Transmembrane;Transmembrane helix	alpha9-beta1 integrin-ADAM8 complex [GO:0071133]; alphav-beta3 integrin-PKCalpha complex [GO:0035866]; apical plasma membrane [GO:0016324]; external side of plasma membrane [GO:0009897]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; integral component of synaptic membrane [GO:0099699]; integrin complex [GO:0008305]
F6PRS3	unreviewed	Homeostatic iron regulator	HFE	HFE	5 out of 5	Disulfide bond;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	apical part of cell [GO:0045177]; basal part of cell [GO:0045178]; cell [GO:0005623]; early endosome [GO:0005769]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; HFE-transferrin receptor complex [GO:1990712]; integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; recycling endosome [GO:0055037]
F6WHR2	unreviewed	C-C motif chemokine receptor 7	CCR7	CCR7	5 out of 5	G-protein coupled receptor;Membrane;Receptor;Reference proteome;Signal;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]
G7NPA3	unreviewed	Nucleotide binding oligomerization domain containing 2	NOD2	NOD2	5 out of 5	ATP-binding;Nucleotide-binding;Reference proteome;Repeat	basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; protein-containing complex [GO:0032991]; vesicle [GO:0031982]
Q9XT45	reviewed	C-X-C chemokine receptor type 6 (CXC-R6) (CXCR-6) (G-protein coupled receptor STRL33) (G-protein coupled receptor bonzo) (CD antigen CD186)	CXCR6	CXCR6 BONZO STRL33	4 out of 5	Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
F6UGD5	unreviewed	Receptor activity-modifying protein 2	RAMP2	RAMP2	5 out of 5	Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix	adrenomedullin receptor complex [GO:1903143]; amylin receptor complex 2 [GO:0150057]; cell [GO:0005623]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; receptor complex [GO:0043235]
F6ZR92	unreviewed	Uncharacterized protein	FZD4	FZD4	5 out of 5	Developmental protein;Disulfide bond;Membrane;Receptor;Reference proteome;Transmembrane;Transmembrane helix;Wnt signaling pathway	cell-cell junction [GO:0005911]; cell surface [GO:0009986]; dendrite [GO:0030425]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
F7AJ20	unreviewed	Adenosine deaminase	ADA	ADA	4 out of 5	Reference proteome	cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; lysosome [GO:0005764]
G7N4L2	unreviewed	Extracellular sulfatase (EC 3.1.6.-)	SULF2	SULF2	4 out of 5	Calcium;Coiled coil;Endoplasmic reticulum;Golgi apparatus;Hydrolase;Metal-binding;Reference proteome;Signal	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi stack [GO:0005795]
F7HLX2	unreviewed	Prohibitin	PHB	PHB	4 out of 5	Coiled coil;Membrane;Mitochondrion;Mitochondrion inner membrane;Reference proteome	cell surface [GO:0009986]; early endosome [GO:0005769]; integral component of plasma membrane [GO:0005887]; mitochondrial inner membrane [GO:0005743]; nucleoplasm [GO:0005654]
O18906	reviewed	CD226 antigen (Platelet and T-cell activation antigen 1) (CD antigen CD226)	CD226	CD226 PTA1	4 out of 5	Cell adhesion;Cell membrane;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Phosphoprotein;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
F6SNI1	unreviewed	CD40 molecule (Tumor necrosis factor receptor superfamily member 5 isoform 1)	CD40	CD40	4 out of 5	Disulfide bond;Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix	CD40 receptor complex [GO:0035631]; cell [GO:0005623]; external side of plasma membrane [GO:0009897]; intracellular membrane-bounded organelle [GO:0043231]
F7GHM0	unreviewed	CD40 ligand (CD40-L) (Tumor necrosis factor ligand superfamily member 5)	CD40LG	CD40LG	4 out of 5	Cytokine;Disulfide bond;Membrane;Reference proteome;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]
F7FJY3	unreviewed	Sulfatase 1	SULF1	SULF1	4 out of 5	Calcium;Coiled coil;Metal-binding;Reference proteome;Signal	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; membrane raft [GO:0045121]
A0A1D5QAU1	unreviewed	Glypican 3	GPC3	GPC3	4 out of 5	GPI-anchor;Glycoprotein;Heparan sulfate;Lipoprotein;Membrane;Proteoglycan;Reference proteome;Signal	anchored component of plasma membrane [GO:0046658]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; lysosome [GO:0005764]
B3Y6B8	unreviewed	Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein)	CD14	CD14	4 out of 5	Cell membrane;Disulfide bond;Immunity;Inflammatory response;Innate immunity;Membrane;Reference proteome;Signal	anchored component of external side of plasma membrane [GO:0031362]; cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; lipopolysaccharide receptor complex [GO:0046696]; membrane raft [GO:0045121]
F7HGN1	unreviewed	Follicle-stimulating hormone receptor (Follitropin receptor)	FSHR	FSHR	4 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Signal;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
F7H741	unreviewed	C-X-C motif chemokine	CXCL10	CXCL10	4 out of 5	Chemotaxis;Cytokine;Disulfide bond;Reference proteome;Secreted;Signal	cell [GO:0005623]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]
A0A5F8A4A6	unreviewed	Extracellular sulfatase (EC 3.1.6.-)	SULF2	SULF2	4 out of 5	Calcium;Coiled coil;Endoplasmic reticulum;Golgi apparatus;Hydrolase;Metal-binding;Reference proteome	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi stack [GO:0005795]
I2CYX8	unreviewed	Receptor protein serine/threonine kinase (EC 2.7.11.30)	ACVR1B	ACVR1B	4 out of 5	ATP-binding;Kinase;Membrane;Nucleotide-binding;Receptor;Reference proteome;Serine/threonine-protein kinase;Signal;Transferase;Transmembrane;Transmembrane helix	activin receptor complex [GO:0048179]; cell surface [GO:0009986]; cytosol [GO:0005829]
G7MVY8	unreviewed	Furin preproprotein (Furin, paired basic amino acid cleaving enzyme)	FURIN	FURIN	4 out of 5	Hydrolase;Membrane;Protease;Reference proteome;Serine protease;Signal;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; integral component of Golgi membrane [GO:0030173]; membrane [GO:0016020]; membrane raft [GO:0045121]; trans-Golgi network [GO:0005802]; trans-Golgi network transport vesicle [GO:0030140]
F6ZZL9	unreviewed	Histidine rich glycoprotein	HRG	HRG	4 out of 5	Coiled coil;Reference proteome;Signal	cell surface [GO:0009986]; endolysosome [GO:0036019]; extracellular region [GO:0005576]
A0A1D5RFV5	unreviewed	ATP binding cassette subfamily G member 1	ABCG1	ABCG1	4 out of 5	ATP-binding;Membrane;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix;Transport	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; recycling endosome [GO:0055037]
A0A1D5RKD4	unreviewed	Protein disulfide-isomerase (EC 5.3.4.1)	P4HB	P4HB	4 out of 5	Disulfide bond;Isomerase;Redox-active center;Reference proteome;Repeat;Signal	cell [GO:0005623]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; external side of plasma membrane [GO:0009897]; lamellipodium [GO:0030027]; procollagen-proline 4-dioxygenase complex [GO:0016222]
F7HLW8	unreviewed	Integrin subunit alpha 3	ITGA3	ITGA3	4 out of 5	Cell adhesion;Integrin;Membrane;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	basolateral plasma membrane [GO:0016323]; excitatory synapse [GO:0060076]; external side of plasma membrane [GO:0009897]; filopodium membrane [GO:0031527]; integrin alpha3-beta1 complex [GO:0034667]; invadopodium membrane [GO:0071438]; synaptic membrane [GO:0097060]
F7BYZ5	unreviewed	Lactotransferrin	LTF	LTF	4 out of 5	Reference proteome;Signal	cell surface [GO:0009986]; extracellular space [GO:0005615]; protein-containing complex [GO:0032991]; specific granule [GO:0042581]
F7HIU9	unreviewed	Prolactin receptor (PRL-R)	PRLR	PRLR	4 out of 5	Disulfide bond;Membrane;Metal-binding;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix;Zinc	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; receptor complex [GO:0043235]
F6WM95	unreviewed	C-type lectin domain family 7 member A	CLEC7A	CLEC7A	4 out of 5	Lectin;Membrane;Reference proteome;Transmembrane;Transmembrane helix	cell surface [GO:0009986]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]
Q28519	reviewed	C-X-C chemokine receptor type 2 (CXC-R2) (CXCR-2) (High affinity interleukin-8 receptor B) (IL-8R B) (CD antigen CD182) (Fragment)	CXCR2	CXCR2 IL8RB	4 out of 5	Cell membrane;Chemotaxis;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
F6TSU2	unreviewed	Protein tyrosine phosphatase receptor type J	PTPRJ	PTPRJ	4 out of 5	Hydrolase;Membrane;Protein phosphatase;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell-cell junction [GO:0005911]; cell surface [GO:0009986]; immunological synapse [GO:0001772]; integral component of membrane [GO:0016021]
Q2YEG0	reviewed	C-X-C chemokine receptor type 1 (CXC-R1) (CXCR-1) (High affinity interleukin-8 receptor A) (IL-8R A) (IL-8 receptor type 1) (CD antigen CD181)	CXCR1	CXCR1 IL8RA	4 out of 5	Cell membrane;Chemotaxis;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	cell [GO:0005623]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
F6RHB7	unreviewed	Heart development protein with EGF like domains 1	HEG1	HEG1	4 out of 5	Disulfide bond;EGF-like domain;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	cell-cell junction [GO:0005911]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
