GeneID	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
5243	P08183	MDR1_HUMAN	reviewed	ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243)	ABCB1 MDR1 PGY1	Homo sapiens (Human)	1280	ceramide translocation [GO:0099040]; export across plasma membrane [GO:0140115]; G2/M transition of mitotic cell cycle [GO:0000086]; phospholipid translocation [GO:0045332]; positive regulation of anion channel activity [GO:1901529]; regulation of chloride transport [GO:2001225]; regulation of response to osmotic stress [GO:0047484]; response to drug [GO:0042493]; stem cell proliferation [GO:0072089]; transepithelial transport [GO:0070633]; transmembrane transport [GO:0055085]; xenobiotic transport across blood-brain barrier [GO:1990962]	apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; external side of apical plasma membrane [GO:0098591]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATPase-coupled xenobiotic transmembrane transporter activity [GO:0008559]; ATP binding [GO:0005524]; ceramide floppase activity [GO:0099038]; efflux transmembrane transporter activity [GO:0015562]; floppase activity [GO:0140328]; phosphatidylcholine floppase activity [GO:0090554]; phosphatidylethanolamine flippase activity [GO:0090555]; transporter activity [GO:0005215]; ubiquitin protein ligase binding [GO:0031625]; xenobiotic transmembrane transporter activity [GO:0042910]
6520	P08195	4F2_HUMAN	reviewed	4F2 cell-surface antigen heavy chain (4F2hc) (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98)	SLC3A2 MDU1	Homo sapiens (Human)	630	amino acid transport [GO:0006865]; calcium ion transport [GO:0006816]; carbohydrate metabolic process [GO:0005975]; L-alpha-amino acid transmembrane transport [GO:1902475]; leukocyte migration [GO:0050900]; L-leucine import across plasma membrane [GO:1903801]; response to exogenous dsRNA [GO:0043330]; tryptophan transport [GO:0015827]	amino acid transport complex [GO:1990184]; apical plasma membrane [GO:0016324]; cell junction [GO:0030054]; cell surface [GO:0009986]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]; melanosome [GO:0042470]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	cadherin binding [GO:0045296]; calcium:sodium antiporter activity [GO:0005432]; catalytic activity [GO:0003824]; double-stranded RNA binding [GO:0003725]; neutral amino acid transmembrane transporter activity [GO:0015175]; RNA binding [GO:0003723]
3326	P08238	HS90B_HUMAN	reviewed	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)	HSP90AB1 HSP90B HSPC2 HSPCB	Homo sapiens (Human)	724	axon extension [GO:0048675]; cellular response to drug [GO:0035690]; cellular response to heat [GO:0034605]; cellular response to interleukin-4 [GO:0071353]; cellular response to organic cyclic compound [GO:0071407]; central nervous system neuron axonogenesis [GO:0021955]; chaperone-mediated protein complex assembly [GO:0051131]; establishment of cell polarity [GO:0030010]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; negative regulation of cell cycle arrest [GO:0071157]; negative regulation of complement-dependent cytotoxicity [GO:1903660]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of proteasomal protein catabolic process [GO:1901799]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of protein metabolic process [GO:0051248]; negative regulation of transforming growth factor beta activation [GO:1901389]; neutrophil degranulation [GO:0043312]; placenta development [GO:0001890]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell size [GO:0045793]; positive regulation of cyclin-dependent protein kinase activity [GO:1904031]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]; positive regulation of protein binding [GO:0032092]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of tau-protein kinase activity [GO:1902949]; positive regulation of telomerase activity [GO:0051973]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; regulation of cellular protein localization [GO:1903827]; regulation of cellular response to heat [GO:1900034]; regulation of interferon-gamma-mediated signaling pathway [GO:0060334]; regulation of protein ubiquitination [GO:0031396]; regulation of type I interferon-mediated signaling pathway [GO:0060338]; response to cocaine [GO:0042220]; response to salt stress [GO:0009651]; response to unfolded protein [GO:0006986]; supramolecular fiber organization [GO:0097435]; telomerase holoenzyme complex assembly [GO:1905323]; telomere maintenance via telomerase [GO:0007004]; virion attachment to host cell [GO:0019062]; xenobiotic metabolic process [GO:0006805]	apical plasma membrane [GO:0016324]; aryl hydrocarbon receptor complex [GO:0034751]; axonal growth cone [GO:0044295]; basolateral plasma membrane [GO:0016323]; brush border membrane [GO:0031526]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic growth cone [GO:0044294]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; HSP90-CDC37 chaperone complex [GO:1990565]; inclusion body [GO:0016234]; lysosomal membrane [GO:0005765]; melanosome [GO:0042470]; membrane [GO:0016020]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ooplasm [GO:1990917]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; secretory granule lumen [GO:0034774]; sperm head plasma membrane [GO:1990913]	"ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; ATP-dependent protein binding [GO:0043008]; cadherin binding [GO:0045296]; CTP binding [GO:0002135]; dATP binding [GO:0032564]; disordered domain specific binding [GO:0097718]; DNA polymerase binding [GO:0070182]; double-stranded RNA binding [GO:0003725]; GTP binding [GO:0005525]; heat shock protein binding [GO:0031072]; histone deacetylase binding [GO:0042826]; histone methyltransferase binding [GO:1990226]; identical protein binding [GO:0042802]; ion channel binding [GO:0044325]; kinase binding [GO:0019900]; MHC class II protein complex binding [GO:0023026]; nitric-oxide synthase regulator activity [GO:0030235]; peptide binding [GO:0042277]; protein dimerization activity [GO:0046983]; protein folding chaperone [GO:0044183]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein kinase regulator activity [GO:0019887]; RNA binding [GO:0003723]; sulfonylurea receptor binding [GO:0017098]; tau protein binding [GO:0048156]; TPR domain binding [GO:0030911]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]; UTP binding [GO:0002134]"
1991	P08246	ELNE_HUMAN	reviewed	Neutrophil elastase (EC 3.4.21.37) (Bone marrow serine protease) (Elastase-2) (Human leukocyte elastase) (HLE) (Medullasin) (PMN elastase)	ELANE ELA2	Homo sapiens (Human)	267	acute inflammatory response to antigenic stimulus [GO:0002438]; antimicrobial humoral response [GO:0019730]; biosynthetic process of antibacterial peptides active against Gram-negative bacteria [GO:0002812]; cellular calcium ion homeostasis [GO:0006874]; defense response to bacterium [GO:0042742]; extracellular matrix disassembly [GO:0022617]; leukocyte migration involved in inflammatory response [GO:0002523]; negative regulation of chemokine biosynthetic process [GO:0045079]; negative regulation of chemotaxis [GO:0050922]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-8 biosynthetic process [GO:0045415]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neutrophil degranulation [GO:0043312]; neutrophil mediated killing of fungus [GO:0070947]; neutrophil mediated killing of gram-negative bacterium [GO:0070945]; phagocytosis [GO:0006909]; positive regulation of immune response [GO:0050778]; positive regulation of interleukin-8 biosynthetic process [GO:0045416]; positive regulation of leukocyte tethering or rolling [GO:1903238]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of smooth muscle cell proliferation [GO:0048661]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; response to lipopolysaccharide [GO:0032496]; response to UV [GO:0009411]; response to yeast [GO:0001878]	azurophil granule lumen [GO:0035578]; cell [GO:0005623]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; phagocytic vesicle [GO:0045335]; secretory granule [GO:0030141]; specific granule lumen [GO:0035580]; transcriptional repressor complex [GO:0017053]	cytokine binding [GO:0019955]; endopeptidase activity [GO:0004175]; heparin binding [GO:0008201]; peptidase activity [GO:0008233]; protease binding [GO:0002020]; serine-type endopeptidase activity [GO:0004252]; transcription corepressor activity [GO:0003714]
1511	P08311	CATG_HUMAN	reviewed	Cathepsin G (CG) (EC 3.4.21.20)	CTSG	Homo sapiens (Human)	255	angiotensin maturation [GO:0002003]; antibacterial humoral response [GO:0019731]; antimicrobial humoral response [GO:0019730]; cellular protein metabolic process [GO:0044267]; cellular response to lipopolysaccharide [GO:0071222]; defense response to fungus [GO:0050832]; defense response to Gram-negative bacterium [GO:0050829]; extracellular matrix disassembly [GO:0022617]; immune response [GO:0006955]; neutrophil degranulation [GO:0043312]; neutrophil mediated killing of gram-positive bacterium [GO:0070946]; positive regulation of immune response [GO:0050778]; protein phosphorylation [GO:0006468]; proteolysis [GO:0006508]	azurophil granule lumen [GO:0035578]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; secretory granule [GO:0030141]	heparin binding [GO:0008201]; peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]
4311	P08473	NEP_HUMAN	reviewed	Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10)	MME EPN	Homo sapiens (Human)	750	aging [GO:0007568]; amyloid-beta clearance [GO:0097242]; amyloid-beta clearance by cellular catabolic process [GO:0150094]; amyloid-beta metabolic process [GO:0050435]; angiotensin maturation [GO:0002003]; cellular response to cytokine stimulus [GO:0071345]; cellular response to UV-A [GO:0071492]; cellular response to UV-B [GO:0071493]; creatinine metabolic process [GO:0046449]; kidney development [GO:0001822]; learning or memory [GO:0007611]; lung development [GO:0030324]; neuropeptide processing [GO:0061837]; neutrophil degranulation [GO:0043312]; peptide metabolic process [GO:0006518]; placenta development [GO:0001890]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of neurogenesis [GO:0050769]; proteolysis [GO:0006508]; replicative senescence [GO:0090399]; sensory perception of pain [GO:0019233]	axon [GO:0030424]; brush border [GO:0005903]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425]; early endosome [GO:0005769]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; neuronal cell body [GO:0043025]; neuron projection terminus [GO:0044306]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; secretory granule membrane [GO:0030667]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; trans-Golgi network [GO:0005802]	cardiolipin binding [GO:1901612]; endopeptidase activity [GO:0004175]; exopeptidase activity [GO:0008238]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; oligopeptidase activity [GO:0070012]; peptide binding [GO:0042277]; phosphatidylserine binding [GO:0001786]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]
3674	P08514	ITA2B_HUMAN	reviewed	"Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41) [Cleaved into: Integrin alpha-IIb heavy chain; Integrin alpha-IIb light chain, form 1; Integrin alpha-IIb light chain, form 2]"	ITGA2B GP2B ITGAB	Homo sapiens (Human)	1039	cell-matrix adhesion [GO:0007160]; extracellular matrix organization [GO:0030198]; integrin-mediated signaling pathway [GO:0007229]; platelet aggregation [GO:0070527]; platelet degranulation [GO:0002576]; positive regulation of leukocyte migration [GO:0002687]; regulation of megakaryocyte differentiation [GO:0045652]	blood microparticle [GO:0072562]; cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; integrin complex [GO:0008305]; plasma membrane [GO:0005886]; platelet alpha granule membrane [GO:0031092]	extracellular matrix binding [GO:0050840]; fibrinogen binding [GO:0070051]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]
929	P08571	CD14_HUMAN	reviewed	"Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form]"	CD14	Homo sapiens (Human)	375	apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; cell surface receptor signaling pathway [GO:0007166]; cellular response to diacyl bacterial lipopeptide [GO:0071726]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to lipoteichoic acid [GO:0071223]; cellular response to molecule of bacterial origin [GO:0071219]; cellular response to triacyl bacterial lipopeptide [GO:0071727]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; MyD88-independent toll-like receptor signaling pathway [GO:0002756]; necroptotic process [GO:0070266]; negative regulation of MyD88-independent toll-like receptor signaling pathway [GO:0034128]; neutrophil degranulation [GO:0043312]; phagocytosis [GO:0006909]; positive regulation of cytokine secretion [GO:0050715]; positive regulation of endocytosis [GO:0045807]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interleukin-8 secretion [GO:2000484]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type I interferon production [GO:0032481]; receptor-mediated endocytosis [GO:0006898]; response to electrical stimulus [GO:0051602]; response to ethanol [GO:0045471]; response to heat [GO:0009408]; response to magnesium ion [GO:0032026]; response to tumor necrosis factor [GO:0034612]; toll-like receptor 4 signaling pathway [GO:0034142]; toll-like receptor signaling pathway [GO:0002224]; toll-like receptor TLR1:TLR2 signaling pathway [GO:0038123]; toll-like receptor TLR6:TLR2 signaling pathway [GO:0038124]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]	anchored component of external side of plasma membrane [GO:0031362]; cell surface [GO:0009986]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; lipopolysaccharide receptor complex [GO:0046696]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]	lipopeptide binding [GO:0071723]; lipopolysaccharide binding [GO:0001530]; lipoteichoic acid binding [GO:0070891]; opsonin receptor activity [GO:0001847]; peptidoglycan immune receptor activity [GO:0016019]
5788	P08575	PTPRC_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45)	PTPRC CD45	Homo sapiens (Human)	1306	activation of MAPK activity [GO:0000187]; B cell differentiation [GO:0030183]; B cell proliferation [GO:0042100]; B cell receptor signaling pathway [GO:0050853]; bone marrow development [GO:0048539]; calcium-mediated signaling using intracellular calcium source [GO:0035584]; cell cycle phase transition [GO:0044770]; cell surface receptor signaling pathway [GO:0007166]; cellular response to extracellular stimulus [GO:0031668]; defense response to virus [GO:0051607]; dephosphorylation [GO:0016311]; DN2 thymocyte differentiation [GO:1904155]; hematopoietic progenitor cell differentiation [GO:0002244]; heterotypic cell-cell adhesion [GO:0034113]; immunoglobulin biosynthetic process [GO:0002378]; leukocyte cell-cell adhesion [GO:0007159]; natural killer cell differentiation [GO:0001779]; negative regulation of cell adhesion involved in substrate-bound cell migration [GO:0006933]; negative regulation of cytokine-mediated signaling pathway [GO:0001960]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of interleukin-2 biosynthetic process [GO:0045085]; negative regulation of microglial cell activation [GO:1903979]; negative regulation of protein autophosphorylation [GO:0031953]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein tyrosine kinase activity [GO:0061099]; negative regulation of T cell mediated cytotoxicity [GO:0001915]; negative thymic T cell selection [GO:0045060]; neutrophil degranulation [GO:0043312]; plasma membrane raft distribution [GO:0044855]; positive regulation of alpha-beta T cell proliferation [GO:0046641]; positive regulation of antigen receptor-mediated signaling pathway [GO:0050857]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis [GO:1905451]; positive regulation of gamma-delta T cell differentiation [GO:0045588]; positive regulation of hematopoietic stem cell migration [GO:2000473]; positive regulation of humoral immune response mediated by circulating immunoglobulin [GO:0002925]; positive regulation of interleukin-2 biosynthetic process [GO:0045086]; positive regulation of isotype switching to IgG isotypes [GO:0048304]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of protein tyrosine phosphatase activity [GO:1903615]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of tumor necrosis factor production [GO:0032760]; positive thymic T cell selection [GO:0045059]; protein dephosphorylation [GO:0006470]; regulation of cell cycle [GO:0051726]; regulation of gene expression [GO:0010468]; regulation of interleukin-8 production [GO:0032677]; regulation of phagocytosis [GO:0050764]; regulation of protein tyrosine kinase activity [GO:0061097]; regulation of receptor signaling pathway via JAK-STAT [GO:0046425]; release of sequestered calcium ion into cytosol [GO:0051209]; response to gamma radiation [GO:0010332]; stem cell development [GO:0048864]; T cell activation [GO:0042110]; T cell differentiation [GO:0030217]; T cell proliferation [GO:0042098]; T cell receptor signaling pathway [GO:0050852]; viral process [GO:0016032]	bleb [GO:0032059]; cell [GO:0005623]; cell surface [GO:0009986]; cytoplasmic side of plasma membrane [GO:0009898]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; membrane microdomain [GO:0098857]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]	ankyrin binding [GO:0030506]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; protein kinase binding [GO:0019901]; protein tyrosine phosphatase activity [GO:0004725]; signaling receptor binding [GO:0005102]; spectrin binding [GO:0030507]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]
4233	P08581	MET_HUMAN	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Homo sapiens (Human)	1390	branching morphogenesis of an epithelial tube [GO:0048754]; cell surface receptor signaling pathway [GO:0007166]; endothelial cell morphogenesis [GO:0001886]; entry of bacterium into host cell [GO:0035635]; establishment of skin barrier [GO:0061436]; liver development [GO:0001889]; MAPK cascade [GO:0000165]; multicellular organism development [GO:0007275]; negative regulation of autophagy [GO:0010507]; negative regulation of guanyl-nucleotide exchange factor activity [GO:1905098]; negative regulation of hydrogen peroxide-mediated programmed cell death [GO:1901299]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of stress fiber assembly [GO:0051497]; negative regulation of thrombin-activated receptor signaling pathway [GO:0070495]; neuron differentiation [GO:0030182]; pancreas development [GO:0031016]; positive chemotaxis [GO:0050918]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of kinase activity [GO:0033674]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of transcription by RNA polymerase II [GO:0045944]; semaphorin-plexin signaling pathway [GO:0071526]; signal transduction [GO:0007165]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	basal plasma membrane [GO:0009925]; cell surface [GO:0009986]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	ATP binding [GO:0005524]; hepatocyte growth factor-activated receptor activity [GO:0005008]; identical protein binding [GO:0042802]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase activity [GO:0004713]; semaphorin receptor activity [GO:0017154]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
4241	P08582	TRFM_HUMAN	reviewed	Melanotransferrin (Melanoma-associated antigen p97) (CD antigen CD228)	MELTF MAP97 MFI2	Homo sapiens (Human)	738	cellular protein metabolic process [GO:0044267]; iron ion homeostasis [GO:0055072]; iron ion transport [GO:0006826]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; positive regulation of extracellular matrix disassembly [GO:0090091]; positive regulation of plasminogen activation [GO:0010756]; post-translational protein modification [GO:0043687]	anchored component of plasma membrane [GO:0046658]; cell surface [GO:0009986]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]	iron ion binding [GO:0005506]
2214	P08637	FCG3A_HUMAN	reviewed	Low affinity immunoglobulin gamma Fc region receptor III-A (CD16a antigen) (Fc-gamma RIII-alpha) (Fc-gamma RIII) (Fc-gamma RIIIa) (FcRIII) (FcRIIIa) (FcR-10) (IgG Fc receptor III-2) (CD antigen CD16a)	FCGR3A CD16A FCG3 FCGR3 IGFR3	Homo sapiens (Human)	254	Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; immune response [GO:0006955]; regulation of immune response [GO:0050776]	external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	IgG binding [GO:0019864]
3678	P08648	ITA5_HUMAN	reviewed	Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain]	ITGA5 FNRA	Homo sapiens (Human)	1049	"angiogenesis [GO:0001525]; CD40 signaling pathway [GO:0023035]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell-cell adhesion mediated by integrin [GO:0033631]; cell-substrate adhesion [GO:0031589]; cell-substrate junction assembly [GO:0007044]; endodermal cell differentiation [GO:0035987]; extracellular matrix organization [GO:0030198]; female pregnancy [GO:0007565]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; heterotypic cell-cell adhesion [GO:0034113]; integrin-mediated signaling pathway [GO:0007229]; leukocyte cell-cell adhesion [GO:0007159]; leukocyte migration [GO:0050900]; memory [GO:0007613]; negative regulation of anoikis [GO:2000811]; positive regulation of cell migration [GO:0030335]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of sprouting angiogenesis [GO:1903672]; positive regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030949]; wound healing, spreading of epidermal cells [GO:0035313]"	alphav-beta3 integrin-vitronectin complex [GO:0071062]; cell surface [GO:0009986]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; integrin alpha5-beta1 complex [GO:0034674]; integrin complex [GO:0008305]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; synapse [GO:0045202]	epidermal growth factor receptor binding [GO:0005154]; integrin binding [GO:0005178]; metal ion binding [GO:0046872]; platelet-derived growth factor receptor binding [GO:0005161]; vascular endothelial growth factor receptor 2 binding [GO:0043184]; virus receptor activity [GO:0001618]
5345	P08697	A2AP_HUMAN	reviewed	Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)	SERPINF2 AAP PLI	Homo sapiens (Human)	491	acute-phase response [GO:0006953]; blood vessel morphogenesis [GO:0048514]; collagen fibril organization [GO:0030199]; fibrinolysis [GO:0042730]; negative regulation of endopeptidase activity [GO:0010951]; negative regulation of fibrinolysis [GO:0051918]; negative regulation of plasminogen activation [GO:0010757]; platelet degranulation [GO:0002576]; positive regulation of cell-cell adhesion mediated by cadherin [GO:2000049]; positive regulation of cell differentiation [GO:0045597]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of JNK cascade [GO:0046330]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta production [GO:0071636]; regulation of blood vessel diameter by renin-angiotensin [GO:0002034]; response to organic substance [GO:0010033]	blood microparticle [GO:0072562]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; fibrinogen complex [GO:0005577]; platelet alpha granule lumen [GO:0031093]	endopeptidase inhibitor activity [GO:0004866]; protease binding [GO:0002020]; protein homodimerization activity [GO:0042803]; serine-type endopeptidase inhibitor activity [GO:0004867]
308	P08758	ANXA5_HUMAN	reviewed	Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)	ANXA5 ANX5 ENX2 PP4	Homo sapiens (Human)	320	blood coagulation [GO:0007596]; cellular response to gonadotropin-releasing hormone [GO:0097211]; cellular response to lead ion [GO:0071284]; negative regulation of apoptotic process [GO:0043066]; negative regulation of blood coagulation [GO:0030195]; negative regulation of prolactin secretion [GO:1902721]; negative regulation of sequestering of calcium ion [GO:0051283]; platelet degranulation [GO:0002576]; positive regulation of apoptotic process [GO:0043065]; regulation of flagellated sperm motility [GO:1901317]; response to calcium ion [GO:0051592]; response to organic substance [GO:0010033]; response to thyroid hormone [GO:0097066]; signal transduction [GO:0007165]	collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endothelial microparticle [GO:0072563]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; focal adhesion [GO:0005925]; intracellular [GO:0005622]; membrane [GO:0016020]	"calcium-dependent phospholipid binding [GO:0005544]; calcium ion binding [GO:0005509]; calcium transmembrane transporter activity, phosphorylative mechanism [GO:0005388]; heparin binding [GO:0008201]; peptide hormone binding [GO:0017046]; phospholipase inhibitor activity [GO:0004859]; phospholipid binding [GO:0005543]; receptor tyrosine kinase binding [GO:0030971]"
